,exp,hp,meta,mean,std,dist,upper,lower
1999,Model<br>Architecture,-0.1,weightedtau,-0.017186532721630673,0.1460653725752879,SEMANTIC,0.12887883985365722,-0.16325190529691858
1725,Model<br>Architecture,-0.1,delta,-0.0018171711177480821,0.04866706651468191,KLD-PP:NS-1000-BINS,0.04684989539693383,-0.05048423763242999
468,Augmentation<br>Policy,-0.1,regret,0.16612838135315824,0.1572201681080222,KLD-PP:NS-W:TS-100-BINS,0.3233485494611804,0.008908213245136049
1995,Model<br>Architecture,-0.1,delta,-0.00028600788239668156,0.04400616833485952,SEMANTIC,0.04372016045246284,-0.0442921762172562
466,Augmentation<br>Policy,-0.1,gain,0.6434108527131782,0.39866016675932336,KLD-PP:NS-W:TS-100-BINS,1.0420710194725016,0.24475068595385485
1009,Co-Training<br>Data,-0.1,weightedtau,-0.008924221047137268,0.1933438002213644,KLD-PP:NS-1000-BINS,0.18441957917422713,-0.20226802126850169
1008,Co-Training<br>Data,-0.1,regret,0.17436772128029543,0.1697192979629449,KLD-PP:NS-1000-BINS,0.34408701924324037,0.00464842331735052
1007,Co-Training<br>Data,-0.1,rank,0.5189461634329318,0.20923934447429082,KLD-PP:NS-1000-BINS,0.7281855079072226,0.30970681895864094
1006,Co-Training<br>Data,-0.1,gain,0.6511627906976745,0.37191248089954226,KLD-PP:NS-1000-BINS,1.0230752715972167,0.2792503097981322
1005,Co-Training<br>Data,-0.1,delta,0.009467200022335212,0.038490787014208536,KLD-PP:NS-1000-BINS,0.04795798703654375,-0.029023586991873324
19,Augmentation<br>Policy,-0.1,weightedtau,-0.027965758790916204,0.17361748441455957,FED,0.14565172562364337,-0.20158324320547577
18,Augmentation<br>Policy,-0.1,regret,0.18321923461341252,0.18242164605887143,FED,0.36564088067228395,0.0007975885545410955
17,Augmentation<br>Policy,-0.1,rank,0.5369287255597007,0.19196451779260001,FED,0.7288932433523008,0.3449642077671007
16,Augmentation<br>Policy,-0.1,gain,0.624031007751938,0.3953868350792742,FED,1.0194178428312122,0.2286441726726638
15,Augmentation<br>Policy,-0.1,delta,0.001557665085299697,0.058538973733033094,FED,0.06009663881833279,-0.056981308647733396
2715,Pretraining<br>Data,-0.1,delta,-0.015052954971944322,0.041721900364354955,SEMANTIC,0.02666894539241063,-0.05677485533629928
2716,Pretraining<br>Data,-0.1,gain,0.34108527131782945,0.3893240134059299,SEMANTIC,0.7304092847237593,-0.04823874208810047
2717,Pretraining<br>Data,-0.1,rank,0.6333189604231408,0.2110408186238016,SEMANTIC,0.8443597790469425,0.4222781417993392
2718,Pretraining<br>Data,-0.1,regret,0.20142468053348586,0.1855284248998151,SEMANTIC,0.38695310543330097,0.015896255633670753
2719,Pretraining<br>Data,-0.1,weightedtau,0.13160074030515695,0.19820435728836266,SEMANTIC,0.3298050975935196,-0.06660361698320572
1905,Model<br>Architecture,-0.1,delta,-0.0017985333459937817,0.04866831562216716,KLD-PP:NS-W:TS-100-BINS,0.04686978227617338,-0.05046684896816094
1906,Model<br>Architecture,-0.1,gain,0.6472868217054264,0.39722781584438244,KLD-PP:NS-W:TS-100-BINS,1.0445146375498089,0.25005900586104396
1907,Model<br>Architecture,-0.1,rank,0.47744730020975623,0.1645781797420215,KLD-PP:NS-W:TS-100-BINS,0.6420254799517777,0.31286912046773474
1908,Model<br>Architecture,-0.1,regret,0.20884672654534936,0.19782468399424205,KLD-PP:NS-W:TS-100-BINS,0.40667141053959144,0.011022042551107308
1909,Model<br>Architecture,-0.1,weightedtau,0.030167225466350617,0.1356357253661048,KLD-PP:NS-W:TS-100-BINS,0.16580295083245541,-0.10546849989975418
919,Co-Training<br>Data,-0.1,weightedtau,-0.04716200133940949,0.16518215333498631,KLD-PP:NN,0.11802015199557683,-0.2123441546743958
918,Co-Training<br>Data,-0.1,regret,0.1852515193295053,0.17559280799050103,KLD-PP:NN,0.3608443273200063,0.009658711339004256
917,Co-Training<br>Data,-0.1,rank,0.5052053619319405,0.18943426738332841,KLD-PP:NN,0.694639629315269,0.31577109454861213
916,Co-Training<br>Data,-0.1,gain,0.631782945736434,0.3792978368844298,KLD-PP:NN,1.0110807826208639,0.2524851088520042
915,Co-Training<br>Data,-0.1,delta,0.008462928601321643,0.03619841909697262,KLD-PP:NN,0.04466134769829426,-0.027735490495650977
379,Augmentation<br>Policy,-0.1,weightedtau,0.07057022548615186,0.19992123467951026,KLD-PP:NS-W:SN-1000-BINS,0.2704914601656621,-0.1293510091933584
467,Augmentation<br>Policy,-0.1,rank,0.5757095490812935,0.16868951003927551,KLD-PP:NS-W:TS-100-BINS,0.7443990591205689,0.40702003904201794
378,Augmentation<br>Policy,-0.1,regret,0.1651813933237684,0.14545974235960732,KLD-PP:NS-W:SN-1000-BINS,0.3106411356833757,0.01972165096416109
1819,Model<br>Architecture,-0.1,weightedtau,0.028095146686965583,0.1703057547367235,KLD-PP:NS-W:SN-1000-BINS,0.19840090142368907,-0.1422106080497579
465,Augmentation<br>Policy,-0.1,delta,0.005170095991102616,0.04591131152749321,KLD-PP:NS-W:TS-100-BINS,0.05108140751859583,-0.040741215536390596
